plot_name,longitude,latitude
Poami 02,164.7663611,-20.74247222
Wadjana 01,166.9996667,-22.27691667
Goa 10,165.2820556,-21.17741667
Wadjana 19,166.9949167,-22.27638889
Forêt Anaïs1 - P01,166.7093056,-22.29166667
La Guen 02,164.7808611,-20.62355556
Wayem 03,164.8691111,-20.64027778
Humboldt 03,166.4023889,-21.88247222
Goa 07,165.3452222,-21.14966667
Forêt Nord 01,166.9136556,-22.32333611
Humboldt 01,166.4034167,-21.88219444
Wayem 02,164.8713333,-20.64080556
Superbe 06,166.5944417,-22.15455278
Demazures 06,166.6258056,-22.1965
Superbe 04,166.5950444,-22.15985
Goa 06,165.3173889,-21.16055556
Demazures 03,166.626125,-22.19566667
Goa 15,165.3250222,-21.16383056
Bon Secours 05,166.689425,-22.15121667
Tao 03,164.77325,-20.57080556
Demazures 05,166.626125,-22.19566667
Forêt Nord 15,166.9197278,-22.31980833
Gohapin 06,165.2716667,-21.18444444
Forêt Nord 23,166.9147194,-22.32410278
Forêt Nord 22,166.9142472,-22.32207778
Koniambo 02,164.8311111,-20.997
Goa 13,165.3355278,-21.15069444
Goa 02,165.3179722,-21.12786667
Tiwae 04,165.1356944,-20.81622222
Tiwae 01,165.1429167,-20.8255
Tao 06,164.7829167,-20.56038889
Forêt Nord 32,166.9140778,-22.32217222
Goa 01,165.318025,-21.12759444
Kouakoué 03,166.535,-21.96516667
La Guen 04,164.7845,-20.62441667
DUM_P04,166.46404,-22.03794654
Superbe 03,166.5929167,-22.1556389
Wadjana 12,166.99297,-22.27480983
Forêt Nord 14,166.9142944,-22.32022222
Superbe 14,166.6056861,-22.1304
Goa 09,165.2916389,-21.183
Wadjana 09,166.9938056,-22.27627778
Forêt Nord 34,166.9133278,-22.32621111
Bois du Sud 02,166.7638722,-22.17289722
Forêt Nord 16,166.9165861,-22.31903889
DUM_P03,166.4472816,-22.07602353
YatéBarrage 02,166.8971111,-22.15494444
Wadjana 16,166.99425,-22.27291667
AOUPINIE - Parcelle 03 (900m),165.277,-21.17821944
Kouakoué 06,166.492216,-21.947384
Bon Secours 04,166.689425,-22.15121667
Goa 11,165.2854722,-21.17738889
Forêt Nord 25,166.9170167,-22.32256667
TOM_13,165.2681,-21.19061
DUM_P02,166.4479175,-22.06852576
Wewec 03,164.7270556,-20.59366667
Forêt Nord 24,166.9191,-22.32113611
Boreare 02,165.4969722,-21.36047222
Wadjana 03,167.0014444,-22.27763889
Forêt Nord 27,166.9188,-22.31930278
Kuebini 01,167.0075,-22.25722222
Gdes_Fougères 02,165.7726389,-21.60661111
Boreare 03,165.4939444,-21.36111111
Gdes_Fougères 03,165.7593889,-21.56122222
AOUPINIE - Parcelle 02 (455m),165.3211111,-21.15194444
Superbe 13,166.6054556,-22.13046944
Tao 04,164.7833056,-20.55983333
Forêt Nord 19,166.9130806,-22.320875
Forêt Nord 18,166.9134389,-22.31880278
Goa 12,165.2856667,-21.1775
Superbe 02,166.5920278,-22.15640278
Poami 03,164.7650833,-20.74147222
Tchamba 03,165.2396944,-21.01072222
Demazures 02,166.626125,-22.19566667
Mia 04,165.9676944,-21.59469444
Bon Secours 03,166.689425,-22.15121667
Kouakoué 02,166.53525,-21.9635
Superbe 15,166.5942639,-22.15450833
Wewec 02,164.7271389,-20.59311111
Bon Secours 02,166.689425,-22.15121667
Forêt Nord 36,166.9291417,-22.32357222
Wadjana 10,166.9933889,-22.27563889
Forêt Nord 40,166.9257167,-22.32064167
Tchamba 02,165.2256917,-21.00200278
Gohapin - Serpent 01,165.2825,-21.23555556
Gohapin 01,165.300071,-21.197671
Gdes_Fougères 04,165.7558056,-21.55963889
Superbe 09,166.5924722,-22.15348889
Wadjana 06,167.0044167,-22.28725
Superbe 01,166.5931278,-22.15554167
Sailles P03,166.24382,-21.66565
Tiwae 02,165.1436667,-20.825
Wadjana 04,167.0043889,-22.28822222
La Guen 01,164.781,-20.62561111
Forêt Nord 13,166.9135222,-22.32064444
Gohapin 05,165.280312,-21.190931
Gohapin - Serpent 03,165.2805833,-21.23818889
Gohapin Pierric 06,165.3041667,-21.20472222
Goa 04,165.3175028,-21.16243611
Ponandou 02,165.2177778,-20.81777778
Bon Secours 01,166.6879194,-22.15066944
Forêt Nord 10,166.916475,-22.3241
Tonine 01,165.0826389,-20.82572222
Wadjana 05,167.0045556,-22.28775
Forêt Nord 06,166.9155167,-22.324775
Dawenia 03,164.6861389,-20.53963889
Gohapin 03,165.2847222,-21.20833333
La Guen 05,164.7760833,-20.6125
Forêt Anaïs2 - P02,166.7122222,-22.29527778
Superbe 07,166.5928333,-22.15477778
Forêt Nord 33,166.9132889,-22.32570556
Forêt Nord 21,166.9173667,-22.32120278
Goa 08,165.3151944,-21.16627778
Tao 05,164.7833056,-20.56002778
Pombei 02,165.1452222,-20.83338889
Gdes_Fougères 01,165.7726944,-21.60794444
Forêt Nord 41,166.9307722,-22.323075
Wadjana 11,166.9932222,-22.27527778
AOUPINIE - Parcelle 04 (600m),165.3010528,-21.19675556
Forêt Nord 26,166.9181278,-22.32180556
Kouakoue 05,166.493434,-21.946526
Forêt Nord 07,166.9184083,-22.32441944
Eoliennes 01,166.7639,-22.3072
Forêt Nord 17,166.9177167,-22.31900556
Superbe 05,166.5952667,-22.15983889
Bois du Sud 01,166.7636,-22.1735
Wadjana 15,166.9945556,-22.27308333
Wadjana 17,166.9937222,-22.27305556
Wadjana 13,166.9950556,-22.27269444
Mia 01,165.9643056,-21.59263889
Gohapin Pierric 02,165.2872222,-21.21166667
Forêt Nord 39,166.9297028,-22.32346111
Gohapin Pierric 03,165.2769444,-21.17805556
Forêt Nord 31,166.9180861,-22.3246
Tonine 02,165.0810833,-20.82463889
La Guen 03,164.7795556,-20.62502778
Forêt Anaïs2 - P01,166.7122222,-22.29527778
DUM_P09,166.4995275,-22.04441951
Dawenia 01,164.677993,-20.540676
TOM_09,165.2879,-21.20781
Forêt Nord 38,166.9302722,-22.32391667
Boreare 04,165.4935833,-21.36122222
Mia 02,165.9640556,-21.59319444
Forêt Nord 30,166.9178694,-22.31809167
Forêt Nord 37,166.9300611,-22.32375556
Forêt Nord 20,166.9206583,-22.318175
Wayem 01,164.8706667,-20.64097222
Sailles P02,166.2428,-21.66541
Boreare 01,165.4964722,-21.36066667
DUM_P01,166.4473683,-22.08532563
Goa 05,165.3172722,-21.16279722
Demazures 04,166.626125,-22.19566667
Poami 01,164.7672778,-20.74177778
Wadjana 02,167.0006111,-22.27777778
Wewec 04,164.7441944,-20.59122222
Dawenia 02,164.682757,-20.538255
Forêt Nord 28,166.9187,-22.32359167
Tao 07,164.7688389,-20.57575556
Forêt Nord 29,166.9162583,-22.32465
Forêt Nord 35,166.9264444,-22.31008611
Pombei 01,165.1453333,-20.83369444
Tao 08,164.7688389,-20.57575556
Kouakoué 01,166.5348889,-21.96286111
Superbe 12,166.6052417,-22.13049722
Wadjana 14,166.9947778,-22.27308333
Tchamba 01,165.2497222,-21.00583333
Koniambo 01,164.8310278,-20.9964167
Humboldt 02,166.4030833,-21.88275
Forêt Nord 04,166.9157222,-22.32117778
Forêt Nord 11,166.9188861,-22.32347222
Mia 03,165.9636944,-21.59052778
Wewec 01,164.7273056,-20.58608333
Wadjana 08,167.0036111,-22.28625
Tonine 03,165.0794167,-20.82331667
Wayem 04,164.8613889,-20.64161111
Gohapin - Serpent 02,165.2805833,-21.23818889
DUM_P10,166.5006107,-22.04388342
DUM_P07,166.5036627,-22.04401878
Tao 02,164.774,-20.57027778
Forêt Nord 09,166.91715,-22.32363611
Ponandou 03,165.2172222,-20.81722222
Forêt Nord 03,166.9154278,-22.32228611
DUM_P05,166.4776462,-22.04246924
Tao 09,164.7688389,-20.57575556
Sailles P01,166.24244,-21.66603
TOM_01,165.26,-21.21839
Gdes_Fougères 05,165.7627222,-21.56613889
Forêt Anaïs1 - P02,166.7093056,-22.29166667
TOM_02,165.2604,-21.21964
CYNa,166.9,-22.16666667
CYMix,166.9,-22.16666667
TOM_26,165.26427,-21.19282
CMNa,166.6833333,-22.2
CMMix,166.6833333,-22.2
CMAg,166.669732,-22.201243
CYAg,166.91132,-22.163369
PGKAg,166.896284,-22.285214
PGKMix,166.9,-22.28333333
PGKNa,166.9,-22.28333333
Gohapin Transect T3,165.2550861,-21.18729722
Gohapin Transect T1,165.2541861,-21.187
Gohapin Transect T2,165.2546472,-21.18713611
