"species","beta_.Intercept.","beta_ultramafic","beta_bio1","beta_bio4","beta_bio12","beta_bio15","beta_cwd","beta_.bio1.2.","beta_.bio4.2.","beta_.bio12.2.","beta_.bio15.2.","beta_.cwd.2.","beta_.log.aire..","lambda_1","lambda_2"
"Stenocarpus.trinervis",0.20414838376304,0.00648667257187078,0.746222036588054,-0.715885997969115,-0.60622125416779,-0.0621330998685288,-0.224435769901787,0.694272909787137,-0.465000597978427,-0.575176508061718,0.0225638115151536,0.342815521957235,0.24380754312624,0.49308587697254,0.96820524091807
"Planchonella.kuebiniensis",-1.71090646612297,0.773322581358226,0.931225376700414,-0.392858180161672,-0.0666978838367919,0.148513085878161,0.205453460781833,0.775679896880296,-0.354814249211817,-0.0265609593213355,0.196409844339513,0.0520509399176114,0.247411047364042,-0.142504320139438,1.34562916642181
"Alyxia.leucogyne",-0.818313908859177,0.1162721340229,0.363795096852576,-1.02948936739517,-0.712752664263647,-0.0696155639793567,0.400602599955885,0.305549748939884,-1.01939132262099,-0.773763212074121,0.0126976831356728,0.724663052941976,0.25039304186272,-0.814391241746045,0.137719182446971
"Crossostylis.multiflora",-0.234229490851593,-1.65703491037081,0.911458983051261,-0.545822235220925,-0.606919139714206,0.222918007731793,-0.41467756472623,0.583620448683436,-0.60868620862455,0.0171846823390634,0.425831917894522,0.0650337934224749,0.253412070496002,0.194904288529101,-0.92164019039701
"Virotia.neurophylla",-1.66867366834381,-0.057750069169747,0.416645291937249,-0.763337168760415,-0.198541449663916,0.0342421486947503,0.95075781692967,0.49744771316586,-0.756267277456217,-0.0728483220954164,0.097368472440565,0.970485309230293,0.241881281789032,-0.342913769475821,0.926069539897776
"Ochrosia.miana",-1.45029205032751,1.15380159917881,0.668708671361516,-0.746274429011905,-0.215827538655573,0.499300672113832,0.173477120569642,0.727086742271188,-0.831385200327761,-0.206803485492948,0.435128768928461,0.114936342334267,0.253550437053556,-1.22198325632995,0.88873784589338
"Acropogon.dzumacensis",-1.12917646848662,0.590038344848601,1.11498870099951,-0.107136746201944,-0.25560682369041,0.0581391805217796,0.56203341722867,1.04986394400726,-0.152668689018025,-0.313875010401834,0.123470516850327,0.67231465384804,0.255280912244064,-0.246494596445183,0.666631851493243
"Ilex.sebertii",1.0976668242448,-0.564548699668958,0.88010390743942,-0.489243405194868,0.346585712882084,-0.0285688305878935,0.265722386321335,0.818693177378169,-0.571522250379889,-1.10214180277583,0.303008224001853,0.260383128923444,0.270138398113419,0.246116178705379,0.598554995310748
"Tristaniopsis.macphersonii",-2.34726319619893,0.126234395116853,0.732548278575879,-1.14686524521404,-0.730575605613404,-0.426618872410731,1.02505569947101,0.718114660367781,-1.22163265530447,-0.455017630104936,-0.379358296914383,0.488806122317106,0.247729207537606,2.45921396236024,-1.07356525903476
"Pycnandra.fastuosa",-1.93051662010171,0.928563295850343,0.479812363645763,-0.543522414949632,-0.255446431152241,0.402059498932385,-0.379703486013651,0.678642486562759,-0.600559156728771,-0.258376466693974,0.235906901259882,-0.150648939728204,0.241501841946395,-0.69162083076078,1.30894374426007
